food,calories,protein,fat,carbs,fiber,sodium
whiskey,231.0,0.0,0.0,0.0,0.0,1.0
salami,393.0,28.6,28.6,0.0,0.0,1610.0
sausages,309.0,12.0,28.2,0.94,0.0,827.0
biscuit,347.0,8.0,20.0,33.3,1.3,560.0
crackers,429.0,11.4,12.9,68.6,2.9,1000.0
pizza,250.0,10.7,10.0,27.9,1.4,407.0
burger,88.0,0.0,0.0,23.5,5.9,3180.0
ice cream,200.0,3.08,10.8,24.6,0.0,54.0
chips,494.0,7.05,17.6,77.6,0.0,35.0
popcorn,500.0,7.14,32.1,53.6,10.7,964.0
chocolate,556.0,5.56,27.8,61.1,0.0,83.0
granola bar,300.0,10.0,20.0,20.0,5.0,5.0
instant noodles,478.0,7.5,23.3,60.0,0.8,2520.0
french fries,179.0,2.38,8.33,22.6,2.4,48.0
nachos,242.0,11.2,13.33,19.87,1.4,430.0
